epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
25,1321.34,0.95227,5.51455,0.38184,0.6497,1.26519,0.97054,1,0.995,0.796,0,0,0,0,0.77377,7.27,0.04704,0.47079,1.03777,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1373.16,0.92958,5.34284,0.38135,0.62799,1.25011,0.96641,1,0.995,0.8955,0,0,0,0,0.68756,6.126,0.07403,0.4542,1.08776,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1425.22,0.93306,5.32817,0.38048,0.62862,1.24908,0.96641,1,0.995,0.796,0,0,0,0,1.09854,6.21644,0.05308,0.55674,0.99885,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1477.32,0.9033,5.13095,0.37775,0.61551,1.2334,0.96574,1,0.995,0.597,0,0,0,0,1.87551,6.55204,0.10979,0.64882,1.58126,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1529.21,0.91347,5.09929,0.37362,0.61644,1.23877,0.96662,1,0.995,0.6965,0,0,0,0,1.20285,5.27568,0.04835,0.4585,1.10502,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1581.1,0.89789,5.1267,0.36739,0.60483,1.22506,0.9697,1,0.995,0.796,0,0,0,0,1.00676,6.18319,0.05503,0.56358,1.06982,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1633.11,0.88452,5.05398,0.36687,0.59645,1.21738,0.96773,1,0.995,0.8955,0,0,0,0,0.75012,5.73212,0.07875,0.41648,0.98672,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,1685.02,0.89167,4.98387,0.36646,0.5989,1.23321,0.96902,1,0.995,0.796,0,0,0,0,1.02172,6.84422,0.13198,0.46547,1.01881,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1736.91,0.88839,4.92301,0.36257,0.5973,1.22629,0.97017,1,0.995,0.8955,0,0,0,0,0.59138,7.0698,0.10842,0.36789,0.93437,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1788.82,0.88612,4.95044,0.35894,0.60102,1.22121,0.96967,1,0.995,0.8955,0,0,0,0,0.69366,6.44066,0.10408,0.33573,0.90496,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1840.82,0.86811,4.85196,0.35165,0.58614,1.20965,0.96947,1,0.995,0.8955,0,0,0,0,0.70903,5.9537,0.05063,0.29325,0.94985,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1892.81,0.86941,4.71012,0.35148,0.58511,1.22157,0.95553,1,0.995,0.8955,0,0,0,0,0.58979,7.0797,0.10691,0.43599,0.90227,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1944.68,0.85533,4.73332,0.35392,0.57196,1.2046,0.96761,1,0.995,0.796,0,0,0,0,0.84494,5.64959,0.08898,0.44768,1.03092,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1996.86,0.86042,4.74484,0.35305,0.57138,1.20787,0.96838,1,0.995,0.8955,0,0,0,0,0.66551,5.9904,0.03082,0.33313,1.00198,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
